Arguments;Attacks;PercentageIncomplete;Index;Runtime;PreprocessingTime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
100;150;10;13;0,19450116157531738;2,384185791015625e-07;0,06226229667663574;0;10;16;0,0035843849182128906;Unstable
100;150;20;21;0,19196796417236328;7,152557373046875e-07;0,10162568092346191;0;0;0;0,004674196243286133;is_in(a0)
50;75;10;4;0,04645276069641113;4,76837158203125e-07;0,02588796615600586;0;7;8;0,003912448883056641;Unstable
100;150;30;0;6,946113348007202;2,384185791015625e-07;0,13653898239135742;0;39;43;0,004818916320800781;Unstable
250;375;30;7;;;;1;;106;0,008712053298950195;Unstable
200;300;10;15;0,5641131401062012;4,76837158203125e-07;0,1895737648010254;0;2;2;0,005637407302856445;Unstable
250;375;20;18;3,5937788486480713;4,76837158203125e-07;0,5403306484222412;0;2;1;0,007189750671386719;Unstable
100;150;20;5;0,2171316146850586;4,76837158203125e-07;0,10500240325927734;0;0;32;0,004126548767089844;is_out(a0)
100;150;10;15;0,08967947959899902;2,384185791015625e-07;0,058873653411865234;0;0;0;0,0032291412353515625;is_in(a0)
150;225;40;1;13,192261457443237;2,384185791015625e-07;0,39615583419799805;0;22;78;0,006199836730957031;Unstable
200;300;30;6;1,5081567764282227;4,76837158203125e-07;0,5340723991394043;0;0;23;0,00737452507019043;is_out(a0)
100;150;10;17;0,09960675239562988;2,384185791015625e-07;0,06402254104614258;0;0;21;0,0033872127532958984;is_out(a0)
200;300;40;24;;;;1;;117;0,00939631462097168;Unstable
200;300;20;11;0,9915711879730225;2,384185791015625e-07;0,3709447383880615;0;0;0;0,006992340087890625;is_in(a0)
250;375;30;16;1,9629006385803223;4,76837158203125e-07;0,8462076187133789;0;0;0;0,00908803939819336;is_in(a0)
50;75;10;18;0,03830313682556152;1,6689300537109375e-06;0,02570939064025879;0;0;1;0,0025506019592285156;is_out(a0)
50;75;20;6;0,06000781059265137;4,76837158203125e-07;0,04171895980834961;0;0;0;0,002747774124145508;is_in(a0)
100;150;10;24;0,11346149444580078;4,76837158203125e-07;0,07436633110046387;0;0;19;0,003858327865600586;is_out(a0)
150;225;10;22;0,20771217346191406;2,384185791015625e-07;0,12714433670043945;0;0;0;0,0049228668212890625;is_in(a0)
150;225;30;22;;;;1;;65;0,00641632080078125;Unstable
50;75;40;1;0,0991363525390625;1,1920928955078125e-06;0,06270909309387207;0;0;0;0,003194570541381836;is_in(a0)
250;375;40;7;2,5275063514709473;4,76837158203125e-07;1,1206011772155762;0;0;0;0,01011514663696289;is_in(a0)
200;300;40;20;8,13788914680481;2,384185791015625e-07;0,7237396240234375;0;2;1;0,008037567138671875;Unstable
200;300;30;11;1,578101634979248;4,76837158203125e-07;0,5155887603759766;0;0;87;0,007539510726928711;is_out(a0)
50;75;30;6;0,1175839900970459;7,152557373046875e-07;0,0543980598449707;0;0;24;0,003216266632080078;is_in(a0)
150;225;30;1;0,6645481586456299;4,76837158203125e-07;0,3222057819366455;0;0;0;0,009578466415405273;is_in(a0)
50;75;20;5;0,059762001037597656;4,76837158203125e-07;0,040077924728393555;0;0;1;0,002756357192993164;is_out(a0)
100;150;40;14;0,3951232433319092;2,384185791015625e-07;0,2077639102935791;0;0;0;0,004958391189575195;is_in(a0)
250;375;20;11;29,115819692611694;7,152557373046875e-07;0,5343194007873535;0;12;59;0,008264541625976562;Unstable
250;375;40;20;17,44821310043335;4,76837158203125e-07;1,317363977432251;0;2;2;0,010185718536376953;Unstable
250;375;10;17;0,5672023296356201;2,384185791015625e-07;0,2946910858154297;0;0;0;0,006651401519775391;is_in(a0)
150;225;10;11;0,3278522491455078;4,76837158203125e-07;0,11629819869995117;0;2;19;0,0050945281982421875;Unstable
150;225;20;17;0,42181921005249023;4,76837158203125e-07;0,21780729293823242;0;0;0;0,005652189254760742;is_in(a0)
100;150;40;5;1,5306167602539062;2,384185791015625e-07;0,19011974334716797;0;0;55;0,005362272262573242;is_in(a0)
250;375;20;21;4,99517297744751;7,152557373046875e-07;0,5409524440765381;0;2;54;0,008450508117675781;Unstable
250;375;20;1;4,344154119491577;4,76837158203125e-07;0,5438728332519531;0;0;74;0,007828950881958008;is_out(a0)
200;300;40;15;17,6417818069458;2,384185791015625e-07;0,7382323741912842;0;8;4;0,008645057678222656;Unstable
50;75;30;15;0,4002552032470703;4,76837158203125e-07;0,05583810806274414;0;37;20;0,00330352783203125;Unstable
100;150;40;9;2,938886880874634;1,6689300537109375e-06;0,21187067031860352;0;10;6;0,005749225616455078;Unstable
150;225;40;13;1,200859546661377;2,384185791015625e-07;0,4072761535644531;0;0;99;0,0070226192474365234;is_out(a0)
200;300;20;6;19,009384632110596;4,76837158203125e-07;0,36126232147216797;0;50;56;0,007012128829956055;Unstable
200;300;40;22;;;;1;;119;0,008270502090454102;Unstable
150;225;40;21;;;;1;;103;0,007039070129394531;Unstable
150;225;10;15;0,22566556930541992;2,384185791015625e-07;0,12653899192810059;0;0;22;0,004823207855224609;is_in(a0)
50;75;20;12;0,06591916084289551;2,384185791015625e-07;0,04350471496582031;0;0;14;0,002610445022583008;is_in(a0)
100;150;30;18;0,2865793704986572;7,152557373046875e-07;0,1619715690612793;0;0;0;0,00530695915222168;is_in(a0)
50;75;40;17;0,5937638282775879;4,76837158203125e-07;0,06960844993591309;0;30;18;0,0036401748657226562;Unstable
250;375;30;12;2,0116820335388184;2,384185791015625e-07;1,0376007556915283;0;0;0;0,009482383728027344;is_in(a0)
150;225;10;10;0,2846806049346924;2,384185791015625e-07;0,11863541603088379;0;2;1;0,004810333251953125;Unstable
200;300;10;22;0,3923017978668213;2,384185791015625e-07;0,18132948875427246;0;0;30;0,00579833984375;is_in(a0)
100;150;40;3;0,39870166778564453;2,384185791015625e-07;0,1968846321105957;0;0;0;0,0052051544189453125;is_in(a0)
