Arguments;Attacks;PercentageIncomplete;Index;Runtime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
150;300;5;9;0,22282695770263672;0,11269950866699219;0;0;20;0,007063388824462891;is_out(a0)
200;200;10;0;0,3577280044555664;0,22842168807983398;0;0;0;0,006982326507568359;is_in(a0)
200;200;10;1;0,31967687606811523;0,19052457809448242;0;0;0;0,007065773010253906;is_out(a0)
200;200;10;2;0,3377964496612549;0,19446635246276855;0;0;1;0,008975744247436523;is_in(a0)
200;200;10;3;0,31815004348754883;0,19448089599609375;0;0;0;0,005984306335449219;is_in(a0)
200;200;10;4;0,6143591403961182;0,20046186447143555;0;11;8;0,006511211395263672;Unstable
200;200;10;5;0,35314297676086426;0,19750690460205078;0;0;14;0,007062435150146484;is_out(a0)
200;200;10;6;0,35772109031677246;0,2213754653930664;0;0;0;0,00854945182800293;is_in(a0)
200;200;10;7;0,3898642063140869;0,21442389488220215;0;0;0;0,008109807968139648;is_in(a0)
200;200;10;8;0,3642289638519287;0,2224116325378418;0;0;3;0,00908350944519043;is_out(a0)
200;200;10;9;0,3654160499572754;0,24791598320007324;0;0;0;0,007979631423950195;is_out(a0)
200;200;15;0;0,4633505344390869;0,2782166004180908;0;0;0;0,0070111751556396484;is_out(a0)
200;200;15;1;0,5076467990875244;0,30037927627563477;0;0;0;0,0069811344146728516;is_out(a0)
200;200;15;2;0,4428133964538574;0,2762632369995117;0;0;0;0,00698542594909668;is_in(a0)
200;200;15;3;0,7321715354919434;0,3420848846435547;0;2;1;0,008779764175415039;Unstable
200;200;15;4;0,598442554473877;0,353057861328125;0;0;0;0,009081363677978516;is_in(a0)
200;200;15;5;11,397067546844482;11,138253211975098;0;0;0;0,008828163146972656;is_out(a0)
200;200;15;6;0,542548656463623;0,3450775146484375;0;0;0;0,008975505828857422;is_out(a0)
200;200;15;7;1,1096858978271484;0,28392863273620605;0;9;6;0,00701451301574707;Unstable
200;200;15;8;0,5549962520599365;0,3292543888092041;0;0;0;0,008948802947998047;is_in(a0)
200;200;15;9;0,5565159320831299;0,33111119270324707;0;0;15;0,008924245834350586;is_in(a0)
200;200;20;0;1,434399127960205;0,38197827339172363;0;7;3;0,008063316345214844;Unstable
200;200;20;1;1,785477638244629;0,42102646827697754;0;6;18;0,008529901504516602;Unstable
200;200;20;2;0,6202495098114014;0,34607362747192383;0;0;0;0,00698399543762207;is_in(a0)
200;200;20;3;0,6381478309631348;0,3748157024383545;0;0;0;0,0069811344146728516;is_in(a0)
200;200;20;4;1,292125940322876;0,4829108715057373;0;2;17;0,007962226867675781;is_out(a0)
200;200;20;5;0,6892111301422119;0,4139697551727295;0;0;0;0,007981061935424805;is_in(a0)
200;200;20;6;0,7642707824707031;0,40815019607543945;0;0;2;0,009971857070922852;is_out(a0)
200;200;20;7;0,6037700176239014;0,35900425910949707;0;0;0;0,010170459747314453;is_in(a0)
200;200;20;8;1,088442325592041;0,3830230236053467;0;5;2;0,00806427001953125;Unstable
200;200;20;9;0,6060750484466553;0,37396955490112305;0;0;0;0,00701594352722168;is_in(a0)
200;200;25;0;0,7720844745635986;0,46882009506225586;0;0;0;0,00797724723815918;is_in(a0)
200;200;25;1;1,6608936786651611;0,5308818817138672;0;7;3;0,00697779655456543;Unstable
200;200;25;2;0,8207354545593262;0,45880556106567383;0;0;0;0,007962465286254883;is_in(a0)
200;200;25;3;2,509964942932129;0,559974193572998;0;5;9;0,014960289001464844;Unstable
200;200;25;4;1,708143949508667;0,4490773677825928;0;2;4;0,007947921752929688;is_out(a0)
200;200;25;5;0,862738847732544;0,464491605758667;0;0;4;0,007915019989013672;is_out(a0)
200;200;25;6;0,7710819244384766;0,4712073802947998;0;0;0;0,007942914962768555;is_in(a0)
200;200;25;7;0,7911605834960938;0,45441508293151855;0;0;0;0,007292509078979492;is_in(a0)
200;200;25;8;0,819342851638794;0,47376489639282227;0;0;0;0,007733345031738281;is_out(a0)
200;200;25;9;0,8696415424346924;0,466785192489624;0;0;14;0,007947444915771484;is_out(a0)
200;200;30;0;2,4261019229888916;0,645928144454956;0;2;1;0,01595759391784668;Unstable
200;200;30;1;1,0382227897644043;0,548532247543335;0;0;0;0,007979631423950195;is_in(a0)
200;200;30;2;2,6302006244659424;0,6532518863677979;0;4;7;0,014033317565917969;Unstable
200;200;30;3;1,134127140045166;0,5502746105194092;0;0;10;0,007982254028320312;is_out(a0)
200;200;30;4;1,0047264099121094;0,5810837745666504;0;0;0;0,007978439331054688;is_in(a0)
200;200;30;5;0,9288115501403809;0,5465400218963623;0;0;0;0,007977485656738281;is_in(a0)
200;200;30;6;3,486171245574951;0,5568959712982178;0;6;3;0,008974075317382812;Unstable
200;200;30;7;1,042264699935913;0,6153883934020996;0;0;0;0,009976387023925781;is_in(a0)
200;200;30;8;2,9404494762420654;0,5468804836273193;0;2;1;0,009067535400390625;Unstable
200;200;30;9;0,978898286819458;0,573749303817749;0;0;0;0,007978439331054688;is_out(a0)
200;200;35;0;1,430356502532959;0,6503679752349854;0;0;5;0,008977174758911133;is_in(a0)
200;200;35;1;1,472151517868042;0,6093699932098389;0;0;1;0,008980274200439453;is_out(a0)
200;200;35;2;3,892259120941162;0,7513446807861328;0;4;2;0,010970830917358398;Unstable
200;200;35;3;1,071329116821289;0,5959048271179199;0;0;0;0,009974241256713867;is_in(a0)
200;200;35;4;1,086118221282959;0,6294159889221191;0;0;0;0,008348226547241211;is_in(a0)
200;200;35;5;1,3675715923309326;0,651397705078125;0;0;3;0,008975982666015625;is_out(a0)
200;200;35;6;1,0865561962127686;0,6231849193572998;0;0;0;0,008976459503173828;is_in(a0)
200;200;35;7;4,513472557067871;0,6532914638519287;0;2;13;0,010242938995361328;Unstable
200;200;35;8;1,3787198066711426;0,6239619255065918;0;0;1;0,009012460708618164;is_out(a0)
200;200;35;9;1,0850830078125;0,6194884777069092;0;0;0;0,0078067779541015625;is_in(a0)
200;200;40;0;1,5814573764801025;0,7260899543762207;0;0;1;0,008979558944702148;is_out(a0)
200;200;40;1;6,2236487865448;0,6987042427062988;0;7;4;0,010999202728271484;Unstable
200;200;40;2;6,307665586471558;0,763157844543457;0;13;6;0,010974645614624023;Unstable
200;200;40;3;6,300765752792358;0,7479510307312012;0;19;40;0,011938095092773438;Unstable
200;200;40;4;1,3416345119476318;0,7305800914764404;0;0;0;0,011992216110229492;is_in(a0)
200;200;40;5;6,274866580963135;0,7142293453216553;0;6;55;0,008976936340332031;Unstable
200;200;40;6;1,300445318222046;0,754263162612915;0;0;0;0,014958858489990234;is_in(a0)
200;200;40;7;6,455705642700195;0,8359425067901611;0;2;12;0,00997304916381836;Unstable
200;200;40;8;1,2170994281768799;0,689948320388794;0;0;0;0,008976459503173828;is_in(a0)
200;200;40;9;6,399899244308472;0,7161059379577637;0;4;21;0,009010791778564453;Unstable
200;200;5;0;0,19674944877624512;0,11913466453552246;0;0;0;0,010937213897705078;is_out(a0)
200;200;5;1;0,16459321975708008;0,10172176361083984;0;0;0;0,007980108261108398;is_in(a0)
200;200;5;2;0,21918368339538574;0,1399080753326416;0;0;0;0,0060656070709228516;is_out(a0)
200;200;5;3;0,15831685066223145;0,08905386924743652;0;0;0;0,006982326507568359;is_in(a0)
200;200;5;4;0,15723776817321777;0,09821891784667969;0;0;0;0,006014823913574219;is_out(a0)
200;200;5;5;0,1463022232055664;0,08688163757324219;0;0;0;0,007124423980712891;is_in(a0)
200;200;5;6;0,14719796180725098;0,08738517761230469;0;0;0;0,006018400192260742;is_out(a0)
200;200;5;7;0,2314000129699707;0,15384960174560547;0;0;6;0,009942770004272461;is_in(a0)
200;200;5;8;0,1752462387084961;0,10572648048400879;0;0;2;0,006981611251831055;is_out(a0)
200;200;5;9;0,3053584098815918;0,15241765975952148;0;0;0;0,0079803466796875;is_in(a0)
200;300;10;0;0,6914868354797363;0,3816409111022949;0;0;28;0,013963460922241211;is_out(a0)
200;300;10;1;3,814520835876465;0,37001848220825195;0;28;27;0,010508537292480469;Unstable
200;300;10;2;0,554330587387085;0,3261258602142334;0;0;0;0,007949590682983398;is_in(a0)
200;300;10;3;0,5745162963867188;0,30025148391723633;0;0;27;0,00802755355834961;is_in(a0)
200;300;10;4;0,782057523727417;0,30814433097839355;0;0;33;0,009013652801513672;is_in(a0)
