Arguments;Attacks;PercentageIncomplete;Index;Runtime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
25;37;40;16;;1;;16;0,009165525436401367;False
5;7;20;17;0,009167671203613281;0;0;2;0,004956960678100586;True
5;7;20;5;0,007013797760009766;0;0;0;0,003409147262573242;False
10;15;40;21;0,352341890335083;0;6;9;0,004163026809692383;False
20;30;40;4;0,007990360260009766;0;0;0;0,0037615299224853516;True
5;7;20;6;0,008057594299316406;0;0;0;0,0034322738647460938;True
15;22;40;20;0,007511615753173828;0;0;0;0,003592967987060547;True
5;7;40;7;0,01270604133605957;0;1;4;0,0050411224365234375;False
25;37;10;23;0,007688760757446289;0;0;0;0,004088878631591797;False
20;30;40;7;;1;;20;0,0063304901123046875;False
25;37;40;15;0,0120849609375;0;0;3;0,0045049190521240234;True
5;7;40;24;0,007573604583740234;0;0;0;0,003746509552001953;True
5;7;20;7;0,007338523864746094;0;0;0;0,0035746097564697266;True
25;37;20;6;0,007919788360595703;0;0;0;0,003945112228393555;True
15;22;10;16;0,014651298522949219;0;0;3;0,004397392272949219;True
5;7;40;11;0,007603168487548828;0;0;1;0,0031342506408691406;True
25;37;40;19;7,481225490570068;0;6;13;0,006001949310302734;False
20;30;30;2;17,422244787216187;0;8;13;0,005841493606567383;False
15;22;30;21;0,007355928421020508;0;0;2;0,004274129867553711;False
15;22;10;10;0,0074748992919921875;0;0;0;0,004021644592285156;False
10;15;10;17;0,008730649948120117;0;0;1;0,0040318965911865234;True
15;22;30;12;0,24539446830749512;0;1;8;0,004880666732788086;False
20;30;20;24;0,008292436599731445;0;0;3;0,005221843719482422;False
10;15;20;20;0,007923126220703125;0;0;1;0,0039017200469970703;False
25;37;30;13;1,739131212234497;0;3;12;0,0061452388763427734;False
15;22;10;2;0,008385658264160156;0;2;2;0,0045413970947265625;False
25;37;10;8;0,008038520812988281;0;0;2;0,0047702789306640625;False
25;37;20;19;0,008703470230102539;0;0;9;0,006705522537231445;False
25;37;30;1;18,47577691078186;0;7;14;0,0067136287689208984;False
25;37;40;5;0,00785517692565918;0;0;0;0,00435638427734375;False
20;30;40;1;;1;;17;0,006397247314453125;False
25;37;20;9;0,007715463638305664;0;0;0;0,004212617874145508;False
20;30;20;7;0,03771686553955078;0;0;5;0,004401445388793945;True
20;30;10;24;0,008130311965942383;0;0;4;0,005183696746826172;False
5;7;20;15;0,0075206756591796875;0;1;1;0,0035674571990966797;False
15;22;20;12;0,016219377517700195;0;1;4;0,004621744155883789;False
5;7;20;21;0,006980419158935547;0;0;2;0,004360675811767578;False
10;15;30;12;0,16634893417358398;0;2;7;0,004884004592895508;False
15;22;20;24;0,008764505386352539;0;1;1;0,0038509368896484375;False
20;30;40;2;0,013600349426269531;0;4;4;0,004100799560546875;False
15;22;10;11;0,008890628814697266;0;0;2;0,0070269107818603516;False
20;30;10;16;0,008794307708740234;0;0;5;0,005791902542114258;False
15;22;40;18;0,008166074752807617;0;1;1;0,004139900207519531;False
20;30;20;6;0,007840156555175781;0;0;1;0,004427433013916016;False
25;37;10;18;0,009151220321655273;0;0;1;0,005098819732666016;False
25;37;40;8;0,007502079010009766;0;0;0;0,003460407257080078;True
10;15;20;11;0,007637977600097656;0;0;0;0,0034525394439697266;False
5;7;30;5;0,009370565414428711;0;2;2;0,007188081741333008;False
25;37;20;13;0,009548664093017578;0;0;0;0,005008220672607422;True
10;15;10;9;0,009732723236083984;0;1;2;0,006639719009399414;False
10;15;40;6;0,010136842727661133;0;0;10;0,008058786392211914;False
20;30;30;7;0,010676860809326172;0;0;5;0,007939338684082031;False
5;7;10;9;0,008630514144897461;0;0;0;0,0050737857818603516;True
5;7;30;22;0,009843587875366211;0;0;2;0,004111528396606445;True
15;22;20;21;0,008622884750366211;0;0;0;0,004814624786376953;True
25;37;20;21;0,00926828384399414;0;0;1;0,004642009735107422;True
10;15;20;22;0,00707554817199707;0;0;2;0,005515336990356445;False
10;15;20;4;0,018639087677001953;0;4;5;0,004620790481567383;False
15;22;20;5;0,00719761848449707;0;0;0;0,003610372543334961;True
15;22;40;12;0,007747173309326172;0;0;7;0,004616975784301758;False
15;22;20;3;0,00923466682434082;0;3;4;0,004221677780151367;False
5;7;10;5;0,00692296028137207;0;0;0;0,0033273696899414062;False
15;22;30;9;0,0071048736572265625;0;0;1;0,003613710403442383;False
15;22;30;3;0,008949756622314453;0;1;1;0,0038557052612304688;False
25;37;30;5;;1;;16;0,006955862045288086;False
5;7;30;21;0,007668018341064453;0;1;1;0,0038666725158691406;False
15;22;30;17;0,007980108261108398;0;0;6;0,00506591796875;False
5;7;20;13;0,007615804672241211;0;0;0;0,003610849380493164;False
20;30;10;21;0,0085296630859375;0;0;2;0,0066869258880615234;False
5;7;10;1;0,0077059268951416016;0;0;0;0,0055353641510009766;False
15;22;10;6;0,007645845413208008;0;0;0;0,0036656856536865234;False
20;30;30;15;16,12014627456665;0;4;13;0,0063326358795166016;False
10;15;30;11;0,009689092636108398;0;0;2;0,005316495895385742;True
25;37;10;24;0,008580923080444336;0;0;2;0,005381345748901367;False
15;22;40;13;0,011266469955444336;0;2;3;0,004449605941772461;False
15;22;30;23;0,007438182830810547;0;0;0;0,0035719871520996094;True
10;15;20;14;0,024396419525146484;0;1;5;0,00467371940612793;False
5;7;30;6;0,007358551025390625;0;0;0;0,0034475326538085938;False
5;7;20;16;0,007855653762817383;0;1;2;0,005887031555175781;False
25;37;40;21;0,007734775543212891;0;0;3;0,004015445709228516;False
20;30;40;16;;1;;16;0,0054166316986083984;False
20;30;10;17;0,010762214660644531;0;0;2;0,004540681838989258;True
5;7;30;19;0,007290363311767578;0;0;1;0,003630399703979492;False
10;15;20;0;0,014248847961425781;0;2;5;0,005702972412109375;False
15;22;30;8;0,007944345474243164;0;2;2;0,00403904914855957;False
20;30;20;18;1,1810152530670166;0;0;9;0,029093503952026367;True
15;22;10;18;0,014582157135009766;0;0;3;0,004634380340576172;True
25;37;20;12;0,020717144012451172;0;4;7;0,00563359260559082;False
25;37;40;17;0,007884740829467773;0;0;0;0,003986358642578125;False
25;37;20;15;0,008077144622802734;0;0;1;0,003874063491821289;True
15;22;40;24;0,00764155387878418;0;1;1;0,004059314727783203;False
10;15;20;19;0,007121562957763672;0;0;0;0,0031926631927490234;False
20;30;20;10;0,01678776741027832;0;2;4;0,004466533660888672;False
25;37;30;21;0,008014917373657227;0;2;2;0,0039942264556884766;False
20;30;20;9;0,00792241096496582;0;0;5;0,004931211471557617;False
5;7;10;23;0,0072596073150634766;0;0;0;0,003052234649658203;True
5;7;40;20;0,006804227828979492;0;0;0;0,003164529800415039;False
10;15;40;8;0,056157588958740234;0;2;7;0,004190683364868164;False
5;7;10;16;0,008701324462890625;0;0;0;0,005926609039306641;True
20;30;10;1;0,019318580627441406;0;0;3;0,013190984725952148;True
10;15;40;1;0,008476018905639648;0;0;0;0,004973173141479492;True
15;22;10;17;0,008315801620483398;0;0;1;0,006824016571044922;False
20;30;40;21;0,007993221282958984;0;0;0;0,00347137451171875;True
10;15;40;7;0,00928950309753418;0;0;2;0,00449371337890625;True
15;22;30;11;0,007419586181640625;0;0;0;0,003282785415649414;True
5;7;40;9;0,007100582122802734;0;0;0;0,003228902816772461;False
20;30;30;17;0,007790803909301758;0;1;1;0,00377655029296875;False
20;30;30;16;0,00822305679321289;0;2;2;0,0037164688110351562;False
10;15;30;18;0,007620334625244141;0;0;7;0,004309654235839844;False
5;7;20;18;0,006985187530517578;0;0;1;0,003494739532470703;False
15;22;10;9;0,008086442947387695;0;0;0;0,003412008285522461;True
5;7;40;3;0,007968902587890625;0;1;1;0,003576993942260742;False
10;15;30;4;0,015849590301513672;0;4;4;0,0048770904541015625;False
15;22;20;22;0,010410070419311523;0;0;5;0,005269527435302734;False
10;15;20;13;0,008344888687133789;0;0;0;0,003671407699584961;False
5;7;10;18;0,008404731750488281;0;0;0;0,004452228546142578;True
5;7;30;10;0,008776426315307617;0;0;3;0,0058329105377197266;False
20;30;30;11;0,028077363967895508;0;3;5;0,0054094791412353516;False
5;7;30;8;0,007233381271362305;0;0;3;0,004400014877319336;False
25;37;40;4;0,008092164993286133;0;1;1;0,004301786422729492;False
20;30;40;12;0,08680081367492676;0;7;7;0,0046558380126953125;False
5;7;40;5;0,007884979248046875;0;0;3;0,004641056060791016;False
25;37;10;21;0,00970315933227539;0;0;0;0,005011558532714844;True
5;7;10;4;0,00817418098449707;0;0;0;0,0044782161712646484;False
15;22;10;0;0,007341623306274414;0;0;0;0,0037240982055664062;True
25;37;20;3;0,007305145263671875;0;0;0;0,003779172897338867;False
20;30;30;6;0,007280588150024414;0;0;0;0,003500699996948242;True
5;7;30;15;0,007164716720581055;0;0;2;0,003954410552978516;False
20;30;20;13;0,022641420364379883;0;0;4;0,01485896110534668;True
10;15;10;14;0,0071942806243896484;0;0;0;0,003519296646118164;True
10;15;40;3;1,3102264404296875;0;9;10;0,0046749114990234375;False
10;15;30;5;0,007902860641479492;0;0;4;0,004324674606323242;False
10;15;20;12;0,007592201232910156;0;0;4;0,004547595977783203;False
15;22;10;13;0,007506847381591797;0;0;0;0,004145383834838867;False
10;15;30;16;0,006871938705444336;0;0;0;0,0035867691040039062;False
10;15;10;13;0,007134199142456055;0;0;0;0,003694295883178711;False
15;22;40;21;0,0073604583740234375;0;0;3;0,003966569900512695;False
15;22;20;7;0,007351875305175781;0;0;0;0,0034749507904052734;True
20;30;10;2;0,01181173324584961;0;1;3;0,005419254302978516;False
15;22;40;6;0,007634162902832031;0;0;0;0,004076242446899414;True
25;37;10;17;0,008121967315673828;0;0;0;0,0039615631103515625;True
10;15;40;19;0,008484840393066406;0;3;3;0,0036056041717529297;False
20;30;30;19;0,007345914840698242;0;0;0;0,0034830570220947266;True
5;7;10;24;0,007108449935913086;0;0;0;0,003694295883178711;False
15;22;10;3;0,008420705795288086;0;0;1;0,0038461685180664062;True
25;37;30;7;0,008275985717773438;0;0;0;0,0035016536712646484;True
15;22;10;4;0,008675575256347656;0;0;2;0,005461215972900391;False
5;7;20;8;0,007756233215332031;0;0;2;0,003915309906005859;False
20;30;40;14;;1;;19;0,006682157516479492;False
5;7;30;24;0,007788181304931641;0;0;0;0,0033066272735595703;True
10;15;10;7;0,007898807525634766;0;0;2;0,0044078826904296875;False
25;37;20;16;0,0073435306549072266;0;0;0;0,003490447998046875;False
10;15;10;6;0,007543087005615234;0;0;2;0,004025459289550781;False
10;15;10;22;0,0077741146087646484;0;0;2;0,004156827926635742;False
15;22;20;10;0,0075550079345703125;0;0;3;0,003995180130004883;False
25;37;40;0;0,00795435905456543;0;0;0;0,0035512447357177734;True
25;37;40;10;0,4652280807495117;0;0;8;0,06985235214233398;True
10;15;20;23;0,008950948715209961;0;0;1;0,00570988655090332;False
25;37;10;16;0,00805211067199707;0;0;0;0,004395008087158203;True
20;30;30;14;0,2347567081451416;0;5;8;0,007889986038208008;False
25;37;20;14;0,009394168853759766;0;0;0;0,005087852478027344;True
5;7;20;9;0,008293628692626953;0;0;0;0,0034575462341308594;True
15;22;40;7;3,035645008087158;0;10;11;0,005587339401245117;False
20;30;30;18;9,299485445022583;0;11;13;0,005889177322387695;False
10;15;20;2;0,01166987419128418;0;2;3;0,004436492919921875;False
10;15;30;19;0,008070230484008789;0;0;6;0,004616260528564453;False
25;37;30;23;0,00794839859008789;0;0;0;0,0038764476776123047;True
25;37;40;20;0,009210824966430664;0;0;19;0,006135702133178711;False
5;7;30;0;0,007149457931518555;0;0;0;0,0034554004669189453;True
25;37;20;11;0,007944822311401367;0;1;1;0,004090070724487305;False
5;7;20;20;0,007601261138916016;0;0;0;0,00335693359375;True
5;7;40;16;0,007223606109619141;0;0;0;0,0044596195220947266;True
15;22;40;1;0,007842063903808594;0;0;1;0,004239082336425781;True
10;15;20;1;0,007130861282348633;0;0;1;0,00366973876953125;False
10;15;40;5;0,0071337223052978516;0;0;0;0,0032722949981689453;True
25;37;30;18;0,008272647857666016;0;0;6;0,005815029144287109;False
5;7;10;13;0,007897615432739258;0;0;0;0,004121065139770508;True
5;7;40;23;0,007180452346801758;0;0;0;0,0038895606994628906;True
15;22;20;2;0,013213396072387695;0;2;4;0,004868030548095703;False
20;30;10;9;0,010581254959106445;0;0;5;0,0059413909912109375;False
20;30;40;10;0,00951075553894043;0;0;0;0,0057370662689208984;False
25;37;40;18;;1;;17;0,009733915328979492;False
10;15;20;9;0,008038520812988281;0;0;0;0,0037293434143066406;False
20;30;20;19;0,007832050323486328;0;0;0;0,003576517105102539;True
5;7;10;12;0,007537126541137695;0;0;0;0,0036895275115966797;False
15;22;10;1;0,007897615432739258;0;0;2;0,004903316497802734;False
20;30;30;24;0,007393360137939453;0;0;0;0,0033071041107177734;True
15;22;30;22;0,007356166839599609;0;0;0;0,003381967544555664;True
20;30;40;20;13,283877849578857;0;0;12;1,4516279697418213;True
25;37;10;13;0,008402347564697266;0;0;0;0,004086971282958984;False
5;7;10;17;0,007661581039428711;0;0;0;0,003937482833862305;False
