Arguments;Attacks;PercentageIncomplete;Index;Runtime;PreprocessingTime;GroundingTime;Timeout;NrRelevant;NrReachable;StabilityTime;StabilityStatus
100;150;30;10;0,20238399505615234;0,014036893844604492;0,11184310913085938;0;0;54;0,005382061004638672;is_out(a0)
10;15;40;12;0,008937358856201172;0,0020024776458740234;0,002099752426147461;0;0;2;0,0013432502746582031;is_out(a0)
5;7;20;4;0,00900721549987793;0,001928567886352539;0,0023746490478515625;0;5;2;0,0011129379272460938;Unstable
150;225;30;5;0,3814127445220947;0,022197961807250977;0,16693687438964844;0;0;78;0,0053060054779052734;is_out(a0)
10;15;30;14;0,013566255569458008;0,0024271011352539062;0,004715442657470703;0;0;6;0,0015070438385009766;is_in(a0)
15;22;20;23;0,012215614318847656;0,002619028091430664;0,0043201446533203125;0;0;4;0,001425027847290039;is_out(a0)
5;7;40;6;0,010029315948486328;0,0018849372863769531;0,0032379627227783203;0;0;4;0,0010564327239990234;is_undec(a0)
15;22;10;12;0,009939193725585938;0,0023758411407470703;0,0025768280029296875;0;0;1;0,001272439956665039;is_out(a0)
15;22;10;5;0,010716438293457031;0,0025835037231445312;0,0030596256256103516;0;2;2;0,0013926029205322266;Unstable
200;300;30;18;58,95036959648132;0,045099496841430664;0,2776477336883545;0;85;115;0,007977962493896484;Unstable
200;300;30;19;0,5605623722076416;0,035420894622802734;0,1963198184967041;0;0;92;0,0059359073638916016;is_out(a0)
5;7;10;21;0,009021520614624023;0,002019166946411133;0,0016527175903320312;0;0;0;0,0010004043579101562;is_undec(a0)
250;375;20;19;0,05443716049194336;0,047138214111328125;0,0012691020965576172;0;0;0;0,0067288875579833984;is_in(a0)
50;75;40;14;0,8035068511962891;0,005712747573852539;0,027937889099121094;0;113;34;0,0030541419982910156;Unstable
10;15;10;3;0,010483026504516602;0,0022351741790771484;0,0029773712158203125;0;4;2;0,0014116764068603516;Unstable
150;225;20;22;0,02487945556640625;0,017505168914794922;0,001314401626586914;0;0;0;0,004693746566772461;is_in(a0)
150;225;20;21;0,4116096496582031;0,01524972915649414;0,055094003677368164;0;22;43;0,004633665084838867;Unstable
250;375;10;7;0,041790008544921875;0,03550457954406738;0,0013341903686523438;0;0;0;0,006200075149536133;is_in(a0)
20;30;20;4;0,010638713836669922;0,0027098655700683594;0,0024793148040771484;0;4;3;0,0015194416046142578;Unstable
50;75;40;0;0,01137232780456543;0,004238128662109375;0,0014421939849853516;0;0;0;0,0028274059295654297;is_in(a0)
15;22;30;20;0,008990764617919922;0,0023212432861328125;0,0017347335815429688;0;0;0;0,001628875732421875;is_in(a0)
10;15;20;10;0,009360790252685547;0,0021753311157226562;0,0018143653869628906;0;0;0;0,0013844966888427734;is_in(a0)
25;37;20;4;0,02326798439025879;0,004561185836791992;0,010037422180175781;0;0;9;0,0016837120056152344;is_out(a0)
10;15;40;10;0,015958309173583984;0,002742767333984375;0,005701303482055664;0;8;6;0,0016145706176757812;Unstable
200;300;20;15;0,23755741119384766;0,030544042587280273;0,08879637718200684;0;0;51;0,006158590316772461;is_in(a0)
250;375;30;19;;;;1;;111;0,007691383361816406;Unstable
250;375;40;14;0,05616950988769531;0,048232316970825195;0,001275777816772461;0;0;0;0,008874893188476562;is_in(a0)
5;7;10;14;0,009735345840454102;0,0021309852600097656;0,0019288063049316406;0;0;0;0,0010516643524169922;is_undec(a0)
10;15;40;14;0,008905410766601562;0,002107858657836914;0,0017821788787841797;0;0;0;0,0014801025390625;is_in(a0)
20;30;10;3;0,00922536849975586;0,0028181076049804688;0,0016624927520751953;0;0;0;0,001445770263671875;is_in(a0)
200;300;10;5;0,037009477615356445;0,02933359146118164;0,0013959407806396484;0;0;0;0,005312919616699219;is_in(a0)
25;37;30;12;0,012601375579833984;0,002949953079223633;0,0038394927978515625;0;0;5;0,0016474723815917969;is_out(a0)
200;300;20;3;0,04010367393493652;0,03051590919494629;0,0028128623962402344;0;0;3;0,006016969680786133;is_in(a0)
25;37;30;16;0,031453609466552734;0,0036563873291015625;0,012414932250976562;0;12;15;0,0019905567169189453;Unstable
5;7;40;21;0,010981082916259766;0,002051830291748047;0,0032320022583007812;0;10;4;0,0012052059173583984;Unstable
200;300;10;13;0,03802299499511719;0,03138303756713867;0,0014095306396484375;0;0;0;0,004970550537109375;is_in(a0)
50;75;20;3;0,03942728042602539;0,005935192108154297;0,018101930618286133;0;2;16;0,0023288726806640625;Unstable
50;75;10;5;0,011072874069213867;0,0038356781005859375;0,0014903545379638672;0;0;0;0,002494335174560547;is_in(a0)
100;150;30;8;2,294212579727173;0,017073392868041992;0,09416317939758301;0;77;53;0,004354238510131836;Unstable
5;7;20;11;0,010561943054199219;0,0021004676818847656;0,002643108367919922;0;0;2;0,0012760162353515625;is_out(a0)
15;22;20;19;0,01005697250366211;0,002385854721069336;0,0025420188903808594;0;4;2;0,001569986343383789;Unstable
5;7;10;20;0,009169578552246094;0,002108335494995117;0,0017752647399902344;0;0;0;0,0010685920715332031;is_undec(a0)
15;22;10;20;0,009424448013305664;0,002388477325439453;0,0018131732940673828;0;0;0;0,0014617443084716797;is_out(a0)
15;22;20;4;0,015356779098510742;0,0026683807373046875;0,0055925846099853516;0;6;6;0,0015146732330322266;Unstable
150;225;30;10;0,028558015823364258;0,020082712173461914;0,0012989044189453125;0;0;0;0,005789995193481445;is_in(a0)
10;15;40;2;0,009377002716064453;0,0022344589233398438;0,001768350601196289;0;0;0;0,0013875961303710938;is_in(a0)
250;375;10;24;0,13634681701660156;0,03504610061645508;0,0558929443359375;0;0;26;0,006053924560546875;is_in(a0)
250;375;40;2;0,0579686164855957;0,04830288887023926;0,0018947124481201172;0;7;3;0,00848388671875;Unstable
5;7;30;17;0,014111995697021484;0,003272533416748047;0,004002809524536133;0;2;1;0,001155853271484375;Unstable
15;22;30;2;0,011768102645874023;0,003222942352294922;0,0028777122497558594;0;0;0;0,0015697479248046875;is_in(a0)
200;300;40;21;3,421705484390259;0,019976377487182617;0,11674904823303223;0;64;76;0,007871866226196289;Unstable
10;15;20;17;0,01544642448425293;0,0028536319732666016;0,005301475524902344;0;5;5;0,001447916030883789;Unstable
200;300;40;14;;;;1;;123;0,007700443267822266;Unstable
20;30;30;21;0,011323690414428711;0,0028138160705566406;0,0020647048950195312;0;0;0;0,002410411834716797;is_undec(a0)
15;22;40;23;0,022488832473754883;0,0030968189239501953;0,008942127227783203;0;18;10;0,0019860267639160156;Unstable
250;375;20;24;4,8612871170043945;0,05680680274963379;0,3302631378173828;0;29;79;0,007483720779418945;Unstable
5;7;30;7;0,010956048965454102;0,002179384231567383;0,0028793811798095703;0;2;1;0,001306295394897461;Unstable
10;15;40;23;0,021155834197998047;0,0026099681854248047;0,0072784423828125;0;28;10;0,0016388893127441406;Unstable
50;75;30;12;0,04702281951904297;0,0047686100006103516;0,012724876403808594;0;35;15;0,003017902374267578;Unstable
15;22;10;22;0,011053323745727539;0,0025954246520996094;0,002811908721923828;0;0;1;0,0014057159423828125;is_out(a0)
5;7;30;16;0,009046554565429688;0,0020246505737304688;0,00223541259765625;0;2;1;0,0011725425720214844;Unstable
100;150;20;24;0,09368205070495605;0,013734579086303711;0,04460453987121582;0;0;34;0,00394129753112793;is_out(a0)
15;22;40;8;0,010797977447509766;0,002463817596435547;0,0027179718017578125;0;0;2;0,0017507076263427734;is_out(a0)
10;15;30;9;0,011858940124511719;0,002340555191040039;0,0036149024963378906;0;6;4;0,0016093254089355469;Unstable
50;75;30;3;0,01178884506225586;0,004286766052246094;0,001604318618774414;0;0;0;0,0028848648071289062;is_in(a0)
200;300;30;20;;;;1;;108;0,007207632064819336;Unstable
100;150;10;9;0,04356861114501953;0,01126241683959961;0,0196230411529541;0;0;12;0,003667593002319336;is_in(a0)
10;15;10;4;0,011031389236450195;0,002367258071899414;0,002818584442138672;0;0;1;0,0012476444244384766;is_undec(a0)
20;30;20;2;0,017845630645751953;0,0031709671020507812;0,007252693176269531;0;2;6;0,0016710758209228516;Unstable
100;150;20;4;0,09442758560180664;0,010387897491455078;0,04102063179016113;0;0;29;0,004070281982421875;is_out(a0)
20;30;30;0;0,03197121620178223;0,0031540393829345703;0,013850688934326172;0;8;15;0,001852273941040039;Unstable
20;30;10;13;0,010582685470581055;0,002819061279296875;0,0024633407592773438;0;0;1;0,0017893314361572266;is_in(a0)
10;15;10;18;0,009947538375854492;0,002434968948364258;0,001974344253540039;0;0;0;0,0013165473937988281;is_undec(a0)
20;30;40;13;0,019925594329833984;0,0029091835021972656;0,007659912109375;0;13;9;0,0019898414611816406;Unstable
10;15;30;15;0,01447749137878418;0,0032520294189453125;0,004402875900268555;0;8;3;0,0015747547149658203;Unstable
25;37;30;17;0,011680841445922852;0,0033032894134521484;0,0020155906677246094;0;0;0;0,0022394657135009766;is_out(a0)
150;225;40;17;0,0285489559173584;0,0193483829498291;0,0013680458068847656;0;0;0;0,006051301956176758;is_in(a0)
25;37;30;19;0,011258363723754883;0,003273487091064453;0,0017707347869873047;0;0;0;0,0021009445190429688;is_in(a0)
25;37;20;24;0,02501511573791504;0,0040056705474853516;0,011888265609741211;0;0;10;0,002132415771484375;is_out(a0)
50;75;30;11;0,07006120681762695;0,0069048404693603516;0,03771376609802246;0;0;33;0,0030820369720458984;is_out(a0)
250;375;30;9;1,2794950008392334;0,05201315879821777;0,4188699722290039;0;0;136;0,008569717407226562;is_out(a0)
25;37;30;0;0,011461496353149414;0,0033147335052490234;0,0019092559814453125;0;0;0;0,0019023418426513672;is_in(a0)
100;150;10;13;0,013891220092773438;0,0059909820556640625;0,001653909683227539;0;0;0;0,0031414031982421875;is_undec(a0)
5;7;30;13;0,012038230895996094;0,0024013519287109375;0,003327608108520508;0;6;3;0,0012984275817871094;Unstable
20;30;30;4;0,016713380813598633;0,002763509750366211;0,006145477294921875;0;8;6;0,0020122528076171875;Unstable
100;150;20;21;0,5008985996246338;0,014289140701293945;0,05786633491516113;0;18;35;0,004602193832397461;Unstable
50;75;10;4;0,02690887451171875;0,006005287170410156;0,011794805526733398;0;0;6;0,002222299575805664;is_out(a0)
100;150;30;0;0,7912983894348145;0,009966611862182617;0,0471498966217041;0;91;37;0,004826545715332031;Unstable
250;375;30;7;0,06503605842590332;0,053923606872558594;0,0015347003936767578;0;0;0;0,008482217788696289;is_in(a0)
25;37;40;16;0,011637687683105469;0,0033016204833984375;0,0018496513366699219;0;0;0;0,0020546913146972656;is_in(a0)
5;7;20;17;0,009853839874267578;0,0022230148315429688;0,001954793930053711;0;0;0;0,0013358592987060547;is_undec(a0)
5;7;20;5;0,010364055633544922;0,002132892608642578;0,002591848373413086;0;2;1;0,0014176368713378906;Unstable
200;300;10;15;0,038953304290771484;0,028490781784057617;0,002725362777709961;0;4;2;0,005694389343261719;Unstable
250;375;20;18;0,052643775939941406;0,043205976486206055;0,0014653205871582031;0;0;0;0,007650613784790039;is_in(a0)
100;150;20;5;0,018575191497802734;0,008720874786376953;0,0030364990234375;0;0;3;0,004050254821777344;is_out(a0)
